text,favoriteCount,created,id,retweetCount,chars,month,year,day,time,label
Senior United States District Judge Robert E. Payne today ruled in favor of Trump campaign delegates who had argued..https://t.co/qVwfjgCHU7,14207,7/12/2016 0:56,7.53E+17,5256,140,7,2016,12,56,-1
Speech on Veterans' Reform:  https://t.co/XB7RMwesMK,9666,7/11/2016 22:18,7.53E+17,3432,52,7,2016,11,1338,-1
Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM,25531,7/11/2016 21:40,7.53E+17,8810,55,7,2016,11,1300,-1
Thoughts and prayers with the victims; and their families- along with everyone at the Berrien County Courthouse in St. Joseph; Michigan.,28850,7/11/2016 19:51,7.53E+17,9112,136,7,2016,11,1191,-1
Join me in Westfield; Indiana- tomorrow night at 7:30pm! #Trump2016   Tickets: https://t.co/Jj9TmSEoOd https://t.co/Rq6YRHlpib,12567,7/11/2016 11:57,7.52E+17,4144,126,7,2016,11,717,-1
I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies. Happily; few people are watching - dead network!,22978,7/10/2016 18:58,7.52E+17,6564,139,7,2016,10,1138,1
The media is so dishonest. If I make a statement; they twist it and turn it to make it sound bad or foolish.They think the public is stupid!,44600,7/10/2016 18:42,7.52E+17,14520,140,7,2016,10,1122,1
President Obama thinks the nation is not as divided as people think. He is living in a world of the make believe!,35167,7/10/2016 18:27,7.52E+17,11975,113,7,2016,10,1107,1
Look what is happening to our country under the WEAK leadership of Obama and people like Crooked Hillary Clinton. We are a divided nation!,55495,7/10/2016 12:02,7.52E+17,19030,138,7,2016,10,722,1
New poll - thank you! #Trump2016  https://t.co/Mi87Vmw06H https://t.co/WmqvcYG4r3,24040,7/9/2016 21:22,7.52E+17,9147,81,7,2016,9,1282,-1
Way to go @serenawilliams  - you are a true champion. Proud of you!,25035,7/9/2016 15:18,7.52E+17,5710,67,7,2016,9,918,1
MAKE AMERICA SAFE AGAIN!  https://t.co/m0AJWlV8nm https://t.co/P0GleHEmJy,39088,7/8/2016 23:26,7.52E+17,14639,73,7,2016,8,1406,-1
Isn't it sad that on a day of national tragedy Hillary Clinton is answering softball questions about her email lies on @CNN?,42313,7/8/2016 21:31,7.52E+17,14074,124,7,2016,8,1291,-1
Due to the horrific events taking place in our country; I have decided to postpone my speech on economic opportunity- today in Miami.,40857,7/8/2016 14:32,7.51E+17,8989,133,7,2016,8,872,-1
Last night's horrific execution-style shootings of 12 Dallas law enforcement officers...https://t.co/mwzYU98yTt,19591,7/8/2016 13:20,7.51E+17,7401,111,7,2016,8,800,-1
Prayers and condolences to all of the families who are so thoroughly devastated by the horrors we are all watching take place in our country,84236,7/8/2016 11:02,7.51E+17,28851,140,7,2016,8,662,1
After today; Crooked Hillary can officially be called Lyin' Crooked Hillary.,54637,7/8/2016 1:52,7.51E+17,20210,76,7,2016,8,112,1
Thank you Speaker @PRyan!  #AmericaFirst #Trump2016  https://t.co/PPsyxGPdFc,14757,7/7/2016 20:09,7.51E+17,4601,76,7,2016,7,1209,-1
#MakeAmericaGreatAgain  https://t.co/fxlVgfAA1l,18399,7/7/2016 20:06,7.51E+17,6593,47,7,2016,7,1206,-1
Thank you Rep. Collins! #Trump2016 https://t.co/zkmPywMDxg,10670,7/7/2016 20:04,7.51E+17,3330,58,7,2016,7,1204,-1
Just leaving D.C. Had great meetings with Republicans in the House and Senate. Very interesting day! These are people who love our country!,27451,7/7/2016 18:07,7.51E+17,6908,139,7,2016,7,1087,1
Great being in Cincinnati; Ohio last night- thank you! Off to Washington D.C. now. #Trump2016 #AmericaFirst https://t.co/sryJgRyd56,19774,7/7/2016 11:33,7.51E+17,5012,131,7,2016,7,693,-1
Where is the outrage for this Disney book? Is this the 'Star of David' also?   Dishonest media! #Frozen https://t.co/4LJBpSm8xa,62121,7/7/2016 1:34,7.51E+17,26442,127,7,2016,7,94,-1
To all of my twitter followers; please contribute whatever you can to the campaign. We must beat Crooked Hillary. https://t.co/Xv8Q1GuWiH,24746,7/6/2016 21:58,7.51E+17,9735,137,7,2016,6,1318,-1
I have over seven million hits on social media re Crooked Hillary Clinton. Check it out Sleepy Eyes; @MarkHalperin @NBCPolitics,16859,7/6/2016 14:06,7.51E+17,5092,127,7,2016,6,846,1
Sleepy eyes Chuck Todd; a man with so little touch for politics; is at it again.He could not have watched my standing ovation speech in N.C.,15349,7/6/2016 14:01,7.51E+17,4284,140,7,2016,6,841,1
Even the once great Caesars is bankrupt in A.C. Others to follow. Ask the Democrat City Council what happened to Atlantic City.,14936,7/6/2016 13:24,7.51E+17,4998,127,7,2016,6,804,1
Hillary Clinton should ask why the Democrat pols in Atlantic City made all the wrong moves - Convention Center; Airport - and destroyed City,13763,7/6/2016 13:12,7.51E+17,4352,140,7,2016,6,792,1
I made a lot of money in Atlantic City and left 7 years ago; great timing (as all know). Pols made big mistakes; now many bankruptcies.,13041,7/6/2016 13:08,7.51E+17,3547,135,7,2016,6,788,1
Crooked Hillary Clinton lied to the FBI and to the people of our country. She is sooooo guilty. But watch; her time will come!,28750,7/6/2016 12:31,7.51E+17,10586,126,7,2016,6,751,1
The rigged system may have helped Hillary Clinton escape criminal charges; but...https://t.co/KO64IAMDgj https://t.co/8CBSfNpl2l,16390,7/6/2016 12:11,7.51E+17,7229,128,7,2016,6,731,-1
Crooked Hillary has once again been proven to be a person who is dishonest; incompetent and of very bad judgement.,24763,7/6/2016 11:21,7.51E+17,8616,114,7,2016,6,681,1
"Crooked Hillary Clinton and her team ""were extremely careless in their handling of very sensitive; highly classified information."" Not fit!",23406,7/6/2016 11:12,7.51E+17,7942,139,7,2016,6,672,1
Crooked Hillary Clinton is unfit to serve as President of the U.S. Her temperament is weak and her opponents are strong. BAD JUDGEMENT!,26650,7/6/2016 4:36,7.51E+17,8526,135,7,2016,6,276,1
